Treatment,Duration,Results,Pricing,Key Benefits,Image Folder Link,Video Link
"About 
London Clinic
Edinburgh Clinic",,,,,https://drive.google.com/drive/folders/1x1HB6O2q-T01FvZO_f9_sM32sz0ViWJd,
Sculptra,30-60 minutes,Gradual volumising and skin quality improvement over 4–12 weeks; full results in ~3–6 months,From ,"• Stimulates natural collagen production
• Gradually restores facial volume and structure
• Improves skin firmness and elasticity
• Long-lasting, subtle, natural-looking results
• Treats hollow cheeks, temples, and jawline definition
• Minimal downtime and low risk of allergic reaction",https://drive.google.com/drive/folders/1Bppls6V_wy3Q7131aMV5KRUBEpv1Rhmp,
Exilis,30–60 minutes,Progressive improvement over 4–12 weeks after a course,From £420,"• Skin tightening
• Stimulates collagen
• Cellulite improvement
• Body contouring in targeted areas
• Minimal downtime
• Suitable for multiple body areas",https://drive.google.com/drive/folders/1H0sqhxqAfzUEp3lKnJU6Ml6a02Uqq5q2?usp=sharing,
Hifu,45–90 minutes,Lifting and tightening develops over 8–12 weeks; results can last 12–18 months,From £735,"
• Non-invasive facial lifting
• Stimulates collagen & elastin
• Contours jawline/cheeks
• Softens wrinkles
• Minimal downtime
• Long-lasting results
",https://drive.google.com/drive/folders/1-LYyCeNxxptcyk2ttYRS0jNfBDRnqofP?usp=drive_link,
Cool Laser,30–60 minutes,Immediate glow with continued improvement over several weeks,From £263,"• Reduces fine lines
• Improves texture & tone
• Targets pigmentation
• Helps acne scarring
• Minimal downtime
• Stimulates collagen",https://drive.google.com/drive/folders/1Njl0FkD_fIjR0n99ZJCfvD7N47HJ8fNt?usp=drive_link,
CoolSculpting,35–60 minutes per cycle,Fat reduction visible in 8–12 weeks,From £800,"• Non-surgical fat reduction 
• Targets stubborn fat
• Minimal downtime
• Permanent fat-cell removal
• Contour improvement
• Clinically proven",https://drive.google.com/drive/folders/1iXfEu2L9NlmCXQYd5x_eoAAYiMv8c_UW?usp=drive_link,
Laser Hair Removal,15–60 minutes,Long-term hair reduction after 6–8 sessions,From £105,"
• Long-term reduction
• Precision targeting
• Fast treatments
• Less ingrown hairs
• Smooth skin
• Cost-effective",https://drive.google.com/drive/folders/1EDA6beaX6pfjtBz0msAuFd7J3r5BQ7tX?usp=drive_link,
Electrolysis,15–60 minutes,Permanent hair removal achieved over a series,From £42,"• Works on all hair/skin types
• Treats blonde/white hairs
• Highly precise
• Medically Cerified 
• Great for small areas
• Long-term results",No page yet,
Medik8 ,30–60 minutes,Immediate glow; progressive results with a course,From £210,"• Exfoliates & resurfaces
• Hydrates and soothes
• Brightens
• Minimizes pores
• Customisable
• Suitable for sensitive skin",https://drive.google.com/drive/folders/18CfcSDXnMKu_qOM6eIjaW2SknIM9oX1o,
Obagi,30–60 minutes ,Improvements in 1–4 weeks for peels; ongoing with homecare,From £250,"
• Targets hyperpigmentation
• Improves texture & tone
• Supports acne control
• Anti-ageing
• Brightens
• Medical-grade formulations",https://drive.google.com/drive/folders/18CfcSDXnMKu_qOM6eIjaW2SknIM9oX1o,
